drugbank_id,name,type,groups,indication,description,category,known_action,actions,uniprot_id
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",enzyme,no,substrate,P10635
DB00674,Galantamine,small molecule,approved,Galantamine is indicated for the treatment of mild to moderate dementia of the Alzheimer’s type.[L13571],"Galantamine is a tertiary alkaloid and reversible, competitive inhibitor of the acetylcholinesterase (AChE) enzyme, which is a widely studied therapeutic target used in the treatment of Alzheimer's disease.[A1018] First characterized in the early 1950s, galantamine is a tertiary alkaloid that was extracted from botanical sources, such as _Galanthus nivalis_.[A201968] Galantamine was first studied in paralytic and neuropathic conditions, such as myopathies and postpolio paralytic conditions, and for reversal of neuromuscular blockade.[A182993,A201968] Following the discovery of its AChE-inhibiting properties, the cognitive effects of galantamine were studied in a wide variety of psychiatric disorders such as mild cognitive impairment, cognitive impairment in schizophrenia and bipolar disorder, and autism; however, re-development of the drug for Alzheimer’s disease did not commence until the early 1990s due to difficulties in extraction and synthesis.[A201968] Galantamine blocks the breakdown of acetylcholine in the synaptic cleft, thereby increasing acetylcholine neurotransmission. It also acts as an allosteric modulator of the nicotinic receptor, giving its dual mechanism of action clinical significance.[A182993]

The drug was approved by the FDA in 2001 for the treatment of mild to moderate dementia of the Alzheimer's type. As Alzheimer's disease is a progressive neurodegenerative disorder, galantamine is not known to alter the course of the underlying dementing process. Galantamine works to block the enzyme responsible for the breakdown of acetylcholine in the synaptic cleft, thereby enhancing cholinergic neuron function and signalling. Under this hypothesized mechanism of action, the therapeutic effects of galantamine may decrease as the disease progression advances and fewer cholinergic neurons remain functionally intact.[L13571] It is therefore not considered to be a disease-modifying drug.[A203558] Galantamine is marketed under the brand name Razadyne, and is available as oral immediate- and extended-release tablets and solution.[L13571]",transporter,no,inhibitor,P08183
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",target,yes,inhibitor,P22303
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",target,unknown,inducer,P28223
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",target,unknown,inducer,P06276
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",target,unknown,inhibitor|inducer,P29475
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",target,unknown,inhibitor,P98066
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",target,unknown,inhibitor|inducer,P01584
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",enzyme,unknown,substrate,P10635
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",enzyme,unknown,substrate,P08684
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",enzyme,unknown,substrate,P11712
DB00843,Donepezil,small molecule,approved,"Donepezil is indicated for the management of mild to moderate Alzheimer’s Disease at doses of 5 mg or 10 mg.[L7916] It is also indicated for the management of moderate to severe Alzheimer’s Disease in a higher dose of 10 mg or 23 mg administered once daily.[L7916] Off-label uses include the management of vascular dementia, Parkinson's Disease-associated dementia, and Lewy body dementia, among others.[A182333,T668] When combined with memantine, the extended-release form of donepezil is indicated to treat the symptoms of moderate to severe dementia.[L7937]","In 2016, the global burden of dementia was estimated to be 43.8 million, demonstrating a significant increase from a global prevalence of 20.2 million in 1990.[A182411] Donepezil, also known as Aricept, is a piperidine derivative acetylcholinesterase inhibitor used in the management of the dementia of Alzheimer's Disease, and in some cases, is used to manage other types of dementia. 

Donepezil was first approved by the FDA in 1996, and its extended-release form was approved in combination with [Memantine] in 2014 to manage moderate and severe forms of Alzheimer's dementia.[L7916,L7937] Though it does not alter the progression of Alzheimer's disease, donepezil is effective in managing the symptoms of its associated dementia.[T668]",transporter,unknown,substrate,Q9UNQ0
DB00989,Rivastigmine,small molecule,approved|investigational,For the treatment of mild to moderate dementia associated with Parkinson's disease or of the Alzheimer's type.,Rivastigmine is a parasympathomimetic or cholinergic agent for the treatment of mild to moderate dementia of the Alzheimer's type. Rivastigmine is a cholinesterase inhibitor that inhibits both butyrylcholinesterase and acetylcholinesterase.,target,yes,inhibitor,P22303
DB00989,Rivastigmine,small molecule,approved|investigational,For the treatment of mild to moderate dementia associated with Parkinson's disease or of the Alzheimer's type.,Rivastigmine is a parasympathomimetic or cholinergic agent for the treatment of mild to moderate dementia of the Alzheimer's type. Rivastigmine is a cholinesterase inhibitor that inhibits both butyrylcholinesterase and acetylcholinesterase.,target,yes,inhibitor,P06276
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",target,unknown,antagonist,P46098
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",target,unknown,antagonist,Q693P7
DB01043,Memantine,small molecule,approved|investigational,"Memantine is used to manage moderate to severe Alzheimer's dementia [FDA label]. 

A more recent systemic review and meta-analysis [A177106] indicates that memantine is beneficial as a first line drug for the treatment of Alzheimer's dementia.  Cholinesterase inhibitors may be added to memantine for further beneficial effects on behavioral symptoms and other symptoms of dementia [A177106].","Initially approved by the FDA in 2013, memantine is an N-methyl-D-aspartate (NMDA) receptor antagonist used in the management of Alzheimer's Disease (AD).  It is different from many other Alzheimer's Disease medications, as it works by a different mechanism than the cholinesterase enzyme inhibitors normally employed in the management of Alzheimer's disease [A1639].  Memantine blocks the effects of glutamate, a neurotransmitter in the brain that leads to neuronal excitability and excessive stimulation in Alzheimer's Disease [T556].

In 2010, it was estimated that 36 million people worldwide live with Alzheimer's Disease. In 2013, this number increased to 44 million.  Almost doubling every 20 years, the prevalence of Alzheimer's Disease is predicted to reach 66 million by 2030 and to 115 million by 2050 [F4366]. In December 2013, the G8 dementia summit concluded that dementia should be considered a global priority with the objective of developing a cure or a disease-modifying therapy by the year 2025 [L5953, F4366].",target,unknown,antagonist|agonist,P14416
